source,target
russia,brestlitovsk germany
brestlitovsk germany,russia
russia,russia
russia,germany province
germany province,ukraine
ukraine,germany
germany,europe
europe,yugoslavia
yugoslavia,czechoslovakia
italy,germany
germany,germany
western europe,germany
germany,austria germany
austria germany,czechoslovakia
europe,spain
europe,czechoslovakia
czechoslovakia,britain
britain,france
france,poland
poland,britain
britain,france
france,germany
germany,poland
poland,east soviet union
estonia,latvia
latvia,lithuania
netherlands,luxembourg
france,atlantic coast
atlantic coast,france
france,italy
yugoslavia,albania
albania,yugoslavia
ukraine,moscow
north africa,libya
libya,egypt
middle east,iraq
iraq,persia
persia,iran
japan,germany
germany,japan
japan,russia germany
russia germany,italy
rome,atlantic
france,germany
france,paris
britain,france
france,germany
poland,germany
europe,berlin
berlin,germany
japan,china
japan,japan
japan,china
japan,shanghai
japan,germany
germany,italy
japan,japan
japan,thailand
colonies,singapore
singapore,hong kong
europe,north africa
north africa,japan
tokyo,japan
united kingdom,manhattan
hiroshima,nagasaki
russia,united kingdom
united kingdom,france
france,china
china,india
india,pakistan
pakistan,israel
israel,north korea
north korea,south africa
israel,libya
libya,iran
western europe,germany
germany,britain
britain,france soviet union berlin
berlin,japan
nuremberg,tokyo
india,pakistan
pakistan,asia united states
cambodia,vietnam
vietnam,jomo
jomo,kenya kwame
kenya kwame,ghana
europe,warsaw
warsaw,berlin
berlin,prague
prague,vienna
poland,latvia
lithuania,finland
yugoslavia,albania
albania,bulgaria
bulgaria,poland
poland,czechoslovakia
czechoslovakia,hungary
hungary,east germany
china,north korea
north korea,cuba
cuba,vietnam
canada australia,britain
korea,south vietnam
vietnam,paris
russia,japan
japan,canada
middle east,china
china,india
north korea,west nile
