source,target,Count
albania,cuba,1
australia,netherlands,1
bulgaria,singapore,1
cambodia,finland,1
canada,lithuania,1
cuba,iran,1
denmark,germany,1
egypt,france,1
estonia,iraq,1
finland,thailand,1
france,japan,1
germany,albania,1
ghana,egypt,1
hungary,pakistan,1
india,vietnam,1
iran,russia,1
israel,south africa,1
italy,united states,1
japan,latvia,1
latvia,bulgaria,1
libya,australia,1
lithuania,libya,1
luxembourg,estonia,1
morocco,poland,1
netherlands,morocco,1
pakistan,ghana,1
poland,israel,1
russia,canada,1
singapore,cambodia,1
south africa,hungary,1
spain,luxembourg,1
thailand,india,1
ukraine,denmark,1
united kingdom,spain,1
united states,ukraine,1
vietnam,united kingdom,1
